SY-2024-25-Proficiency-ELA-2025.12.18-TT-MASKED_reload3.10 (1)
TableName,SY,DistrictCode,LocationCode,SchoolCode,DistrictName,LocationName,Demographic,SubTest,AttenuatedProficiencyRate,ProficientN,AttenuatedStudentTotal
ProficiencyELA,2024-2025,6,0,6000,DEXTER,DEXTER DO,Homeless,ELA,*,*,16
ProficiencyELA,2024-2025,6,0,6000,DEXTER,DEXTER DO,Military,ELA,*,*,*
ProficiencyELA,2024-2025,6,0,6000,DEXTER,DEXTER DO,AnyNative,ELA,*,*,*
ProficiencyELA,2024-2025,6,0,6000,DEXTER,DEXTER DO,AnyBlack,ELA,*,*,*
ProficiencyELA,2024-2025,7,0,7000,LAKE ARTHUR,LAKE ARTHUR DO,All,ELA,37.84,28,74
ProficiencyELA,2024-2025,7,0,7000,LAKE ARTHUR,LAKE ARTHUR DO,Female,ELA,39.53,17,43
ProficiencyELA,2024-2025,7,0,7000,LAKE ARTHUR,LAKE ARTHUR DO,Male,ELA,35.48,11,31
ProficiencyELA,2024-2025,7,0,7000,LAKE ARTHUR,LAKE ARTHUR DO,Hispanic,ELA,38.98,23,59
ProficiencyELA,2024-2025,7,0,7000,LAKE ARTHUR,LAKE ARTHUR DO,White,ELA,36.23,25,69
ProficiencyELA,2024-2025,7,0,7000,LAKE ARTHUR,LAKE ARTHUR DO,Black,ELA,*,*,*
ProficiencyELA,2024-2025,7,0,7000,LAKE ARTHUR,LAKE ARTHUR DO,Asian,ELA,*,*,*
ProficiencyELA,2024-2025,7,0,7000,LAKE ARTHUR,LAKE ARTHUR DO,Native,ELA,*,*,*
ProficiencyELA,2024-2025,7,0,7000,LAKE ARTHUR,LAKE ARTHUR DO,Multirace,ELA,*,*,*
ProficiencyELA,2024-2025,7,0,7000,LAKE ARTHUR,LAKE ARTHUR DO,FRL,ELA,37.84,28,74
ProficiencyELA,2024-2025,7,0,7000,LAKE ARTHUR,LAKE ARTHUR DO,NotFRL,ELA,*,*,*
ProficiencyELA,2024-2025,7,0,7000,LAKE ARTHUR,LAKE ARTHUR DO,DirectCert,ELA,25,7,28
ProficiencyELA,2024-2025,7,0,7000,LAKE ARTHUR,LAKE ARTHUR DO,NotDirectCert,ELA,45.65,21,46
ProficiencyELA,2024-2025,7,0,7000,LAKE ARTHUR,LAKE ARTHUR DO,SwD,ELA,*,*,16
ProficiencyELA,2024-2025,7,0,7000,LAKE ARTHUR,LAKE ARTHUR DO,NotSwD,ELA,37.93,22,58
ProficiencyELA,2024-2025,7,0,7000,LAKE ARTHUR,LAKE ARTHUR DO,EL,ELA,45.45,10,22
ProficiencyELA,2024-2025,7,0,7000,LAKE ARTHUR,LAKE ARTHUR DO,NotEL,ELA,34.62,18,52
ProficiencyELA,2024-2025,7,0,7000,LAKE ARTHUR,LAKE ARTHUR DO,Migratory,ELA,*,*,*
ProficiencyELA,2024-2025,7,0,7000,LAKE ARTHUR,LAKE ARTHUR DO,Homeless,ELA,*,*,*
ProficiencyELA,2024-2025,7,0,7000,LAKE ARTHUR,LAKE ARTHUR DO,Military,ELA,*,*,*
ProficiencyELA,2024-2025,7,0,7000,LAKE ARTHUR,LAKE ARTHUR DO,AnyNative,ELA,*,*,*
ProficiencyELA,2024-2025,7,0,7000,LAKE ARTHUR,LAKE ARTHUR DO,AnyBlack,ELA,*,*,*
ProficiencyELA,2024-2025,8,0,8000,CIMARRON,CIMARRON DO,All,ELA,50,78,156
ProficiencyELA,2024-2025,8,0,8000,CIMARRON,CIMARRON DO,Female,ELA,50,36,72
ProficiencyELA,2024-2025,8,0,8000,CIMARRON,CIMARRON DO,Male,ELA,46.05,35,76
ProficiencyELA,2024-2025,8,0,8000,CIMARRON,CIMARRON DO,Hispanic,ELA,43.9,36,82
ProficiencyELA,2024-2025,8,0,8000,CIMARRON,CIMARRON DO,White,ELA,50.34,73,145
ProficiencyELA,2024-2025,8,0,8000,CIMARRON,CIMARRON DO,Black,ELA,*,*,*
ProficiencyELA,2024-2025,8,0,8000,CIMARRON,CIMARRON DO,Asian,ELA,*,*,*
ProficiencyELA,2024-2025,8,0,8000,CIMARRON,CIMARRON DO,Native,ELA,*,*,*
ProficiencyELA,2024-2025,8,0,8000,CIMARRON,CIMARRON DO,Multirace,ELA,*,*,*
ProficiencyELA,2024-2025,8,0,8000,CIMARRON,CIMARRON DO,FRL,ELA,48.68,74,152
ProficiencyELA,2024-2025,8,0,8000,CIMARRON,CIMARRON DO,NotFRL,ELA,*,*,*
ProficiencyELA,2024-2025,8,0,8000,CIMARRON,CIMARRON DO,DirectCert,ELA,32,16,50
ProficiencyELA,2024-2025,8,0,8000,CIMARRON,CIMARRON DO,NotDirectCert,ELA,58.49,62,106
ProficiencyELA,2024-2025,8,0,8000,CIMARRON,CIMARRON DO,SwD,ELA,≤ 20,*,31
ProficiencyELA,2024-2025,8,0,8000,CIMARRON,CIMARRON DO,NotSwD,ELA,57.6,72,125
ProficiencyELA,2024-2025,8,0,8000,CIMARRON,CIMARRON DO,EL,ELA,*,*,*
ProficiencyELA,2024-2025,8,0,8000,CIMARRON,CIMARRON DO,NotEL,ELA,50,75,150
ProficiencyELA,2024-2025,8,0,8000,CIMARRON,CIMARRON DO,Migratory,ELA,*,*,*
ProficiencyELA,2024-2025,8,0,8000,CIMARRON,CIMARRON DO,Homeless,ELA,*,*,*
ProficiencyELA,2024-2025,8,0,8000,CIMARRON,CIMARRON DO,Military,ELA,*,*,*
ProficiencyELA,2024-2025,8,0,8000,CIMARRON,CIMARRON DO,AnyNative,ELA,*,*,*
ProficiencyELA,2024-2025,8,0,8000,CIMARRON,CIMARRON DO,AnyBlack,ELA,*,*,*
ProficiencyELA,2024-2025,9,0,9000,RATON,RATON DO,All,ELA,40.04,217,542
ProficiencyELA,2024-2025,9,0,9000,RATON,RATON DO,Female,ELA,41.29,109,264
ProficiencyELA,2024-2025,9,0,9000,RATON,RATON DO,Male,ELA,38.85,108,278
ProficiencyELA,2024-2025,9,0,9000,RATON,RATON DO,Hispanic,ELA,37.68,159,422
ProficiencyELA,2024-2025,9,0,9000,RATON,RATON DO,White,ELA,40.3,214,531
ProficiencyELA,2024-2025,9,0,9000,RATON,RATON DO,Black,ELA,*,*,*
ProficiencyELA,2024-2025,9,0,9000,RATON,RATON DO,Asian,ELA,*,*,*
ProficiencyELA,2024-2025,9,0,9000,RATON,RATON DO,Native,ELA,*,*,*
ProficiencyELA,2024-2025,9,0,9000,RATON,RATON DO,Multirace,ELA,*,*,*
ProficiencyELA,2024-2025,9,0,9000,RATON,RATON DO,FRL,ELA,40.11,217,541
ProficiencyELA,2024-2025,9,0,9000,RATON,RATON DO,NotFRL,ELA,*,*,*
ProficiencyELA,2024-2025,9,0,9000,RATON,RATON DO,DirectCert,ELA,34.62,108,312
ProficiencyELA,2024-2025,9,0,9000,RATON,RATON DO,NotDirectCert,ELA,47.39,109,230
ProficiencyELA,2024-2025,9,0,9000,RATON,RATON DO,SwD,ELA,14.04,16,114
ProficiencyELA,2024-2025,9,0,9000,RATON,RATON DO,NotSwD,ELA,46.74,201,430
ProficiencyELA,2024-2025,9,0,9000,RATON,RATON DO,EL,ELA,*,*,16
ProficiencyELA,2024-2025,9,0,9000,RATON,RATON DO,NotEL,ELA,40.8,215,527
ProficiencyELA,2024-2025,9,0,9000,RATON,RATON DO,Migratory,ELA,*,*,*
ProficiencyELA,2024-2025,9,0,9000,RATON,RATON DO,Homeless,ELA,*,*,*
ProficiencyELA,2024-2025,9,0,9000,RATON,RATON DO,Military,ELA,*,*,*
ProficiencyELA,2024-2025,9,0,9000,RATON,RATON DO,AnyNative,ELA,*,*,*
ProficiencyELA,2024-2025,9,0,9000,RATON,RATON DO,AnyBlack,ELA,*,*,*
ProficiencyELA,2024-2025,10,0,10000,SPRINGER,SPRINGER DO,All,ELA,35.44,28,79
ProficiencyELA,2024-2025,10,0,10000,SPRINGER,SPRINGER DO,Female,ELA,43.9,18,41
ProficiencyELA,2024-2025,10,0,10000,SPRINGER,SPRINGER DO,Male,ELA,26.32,10,38
ProficiencyELA,2024-2025,10,0,10000,SPRINGER,SPRINGER DO,Hispanic,ELA,35.71,25,70
ProficiencyELA,2024-2025,10,0,10000,SPRINGER,SPRINGER DO,White,ELA,35.9,28,78
ProficiencyELA,2024-2025,10,0,10000,SPRINGER,SPRINGER DO,Black,ELA,*,*,*
ProficiencyELA,2024-2025,10,0,10000,SPRINGER,SPRINGER DO,Asian,ELA,*,*,*
ProficiencyELA,2024-2025,10,0,10000,SPRINGER,SPRINGER DO,Native,ELA,*,*,*
ProficiencyELA,2024-2025,10,0,10000,SPRINGER,SPRINGER DO,Multirace,ELA,*,*,*
ProficiencyELA,2024-2025,10,0,10000,SPRINGER,SPRINGER DO,FRL,ELA,35.44,28,79
ProficiencyELA,2024-2025,10,0,10000,SPRINGER,SPRINGER DO,NotFRL,ELA,*,*,*
ProficiencyELA,2024-2025,10,0,10000,SPRINGER,SPRINGER DO,DirectCert,ELA,29.41,10,34
ProficiencyELA,2024-2025,10,0,10000,SPRINGER,SPRINGER DO,NotDirectCert,ELA,39.13,18,46
ProficiencyELA,2024-2025,10,0,10000,SPRINGER,SPRINGER DO,SwD,ELA,*,*,16
ProficiencyELA,2024-2025,10,0,10000,SPRINGER,SPRINGER DO,NotSwD,ELA,42.19,27,64
ProficiencyELA,2024-2025,10,0,10000,SPRINGER,SPRINGER DO,EL,ELA,*,*,*
ProficiencyELA,2024-2025,10,0,10000,SPRINGER,SPRINGER DO,NotEL,ELA,36.36,28,77
ProficiencyELA,2024-2025,10,0,10000,SPRINGER,SPRINGER DO,Migratory,ELA,*,*,*
ProficiencyELA,2024-2025,10,0,10000,SPRINGER,SPRINGER DO,Homeless,ELA,*,*,*
ProficiencyELA,2024-2025,10,0,10000,SPRINGER,SPRINGER DO,Military,ELA,*,*,*
ProficiencyELA,2024-2025,10,0,10000,SPRINGER,SPRINGER DO,AnyNative,ELA,*,*,*
ProficiencyELA,2024-2025,10,0,10000,SPRINGER,SPRINGER DO,AnyBlack,ELA,*,*,*
ProficiencyELA,2024-2025,11,0,11000,MAXWELL,MAXWELL DO,All,ELA,59.09,26,44
ProficiencyELA,2024-2025,11,0,11000,MAXWELL,MAXWELL DO,Female,ELA,56.52,13,23
ProficiencyELA,2024-2025,11,0,11000,MAXWELL,MAXWELL DO,Male,ELA,61.9,13,21
ProficiencyELA,2024-2025,11,0,11000,MAXWELL,MAXWELL DO,Hispanic,ELA,55.88,19,34
ProficiencyELA,2024-2025,11,0,11000,MAXWELL,MAXWELL DO,White,ELA,59.09,26,44
