TableName,SY,DistrictCode,LocationCode,SchoolCode,DistrictName,LocationName,Demographic,SubTest,AttenuatedProficiencyRate,ProficientN,AttenuatedStudentTotal
ProficiencyMATH,2024-2025,7,0,7000,LAKE ARTHUR,LAKE ARTHUR DO,Black,MATH,*,*,*
ProficiencyMATH,2024-2025,7,0,7000,LAKE ARTHUR,LAKE ARTHUR DO,Asian,MATH,*,*,*
ProficiencyMATH,2024-2025,7,0,7000,LAKE ARTHUR,LAKE ARTHUR DO,Native,MATH,*,*,*
ProficiencyMATH,2024-2025,7,0,7000,LAKE ARTHUR,LAKE ARTHUR DO,Multirace,MATH,*,*,*
ProficiencyMATH,2024-2025,7,0,7000,LAKE ARTHUR,LAKE ARTHUR DO,FRL,MATH,17.57,13,74
ProficiencyMATH,2024-2025,7,0,7000,LAKE ARTHUR,LAKE ARTHUR DO,NotFRL,MATH,*,*,*
ProficiencyMATH,2024-2025,7,0,7000,LAKE ARTHUR,LAKE ARTHUR DO,DirectCert,MATH,*,*,28
ProficiencyMATH,2024-2025,7,0,7000,LAKE ARTHUR,LAKE ARTHUR DO,NotDirectCert,MATH,21.74,10,46
ProficiencyMATH,2024-2025,7,0,7000,LAKE ARTHUR,LAKE ARTHUR DO,SwD,MATH,*,*,16
ProficiencyMATH,2024-2025,7,0,7000,LAKE ARTHUR,LAKE ARTHUR DO,NotSwD,MATH,15.52,9,58
ProficiencyMATH,2024-2025,7,0,7000,LAKE ARTHUR,LAKE ARTHUR DO,EL,MATH,*,*,22
ProficiencyMATH,2024-2025,7,0,7000,LAKE ARTHUR,LAKE ARTHUR DO,NotEL,MATH,19.23,10,52
ProficiencyMATH,2024-2025,7,0,7000,LAKE ARTHUR,LAKE ARTHUR DO,Migratory,MATH,*,*,*
ProficiencyMATH,2024-2025,7,0,7000,LAKE ARTHUR,LAKE ARTHUR DO,Homeless,MATH,*,*,*
ProficiencyMATH,2024-2025,7,0,7000,LAKE ARTHUR,LAKE ARTHUR DO,Military,MATH,*,*,*
ProficiencyMATH,2024-2025,7,0,7000,LAKE ARTHUR,LAKE ARTHUR DO,AnyNative,MATH,*,*,*
ProficiencyMATH,2024-2025,7,0,7000,LAKE ARTHUR,LAKE ARTHUR DO,AnyBlack,MATH,*,*,*
ProficiencyMATH,2024-2025,8,0,8000,CIMARRON,CIMARRON DO,All,MATH,28.21,44,156
ProficiencyMATH,2024-2025,8,0,8000,CIMARRON,CIMARRON DO,Female,MATH,26.39,19,72
ProficiencyMATH,2024-2025,8,0,8000,CIMARRON,CIMARRON DO,Male,MATH,28.95,22,76
ProficiencyMATH,2024-2025,8,0,8000,CIMARRON,CIMARRON DO,Hispanic,MATH,25.61,21,82
ProficiencyMATH,2024-2025,8,0,8000,CIMARRON,CIMARRON DO,White,MATH,28.97,42,145
ProficiencyMATH,2024-2025,8,0,8000,CIMARRON,CIMARRON DO,Black,MATH,*,*,*
ProficiencyMATH,2024-2025,8,0,8000,CIMARRON,CIMARRON DO,Asian,MATH,*,*,*
ProficiencyMATH,2024-2025,8,0,8000,CIMARRON,CIMARRON DO,Native,MATH,*,*,*
ProficiencyMATH,2024-2025,8,0,8000,CIMARRON,CIMARRON DO,Multirace,MATH,*,*,*
ProficiencyMATH,2024-2025,8,0,8000,CIMARRON,CIMARRON DO,FRL,MATH,26.97,41,152
ProficiencyMATH,2024-2025,8,0,8000,CIMARRON,CIMARRON DO,NotFRL,MATH,*,*,*
ProficiencyMATH,2024-2025,8,0,8000,CIMARRON,CIMARRON DO,DirectCert,MATH,≤ 20,*,50
